"DOI","CIMA_INDEX"
"10.1001/amajethics.2021.519",1
"10.1001/jama.2019.21834",4
"10.1001/jama.2020.1012",1
"10.1001/jama.2020.1522",1
"10.1001/jama.2020.26858",2
"10.1001/jama.2020.7980",1
"10.1001/jama.2020.7992",1
"10.1001/jamacardio.2022.2333",2
"10.1001/jamainternmed.2020.2771",2
"10.1001/jamainternmed.2021.7024",1
"10.1001/jamainternmed.2021.7171",1
"10.1001/jamanetworkopen.2020.13431",2
"10.1001/jamanetworkopen.2020.14220",1
"10.1001/jamanetworkopen.2020.15061",3
"10.1001/jamanetworkopen.2020.16278",2
"10.1001/jamanetworkopen.2020.22227",2
"10.1001/jamanetworkopen.2020.35913",1
"10.1001/jamanetworkopen.2020.36321",2
"10.1001/jamanetworkopen.2020.4339",1
"10.1001/jamanetworkopen.2021.2167",1
"10.1001/jamanetworkopen.2021.24932",2
"10.1001/jamanetworkopen.2021.28271",3
"10.1001/jamanetworkopen.2021.28871",2
"10.1001/jamanetworkopen.2021.34627",2
"10.1001/jamanetworkopen.2021.36697",2
"10.1001/jamanetworkopen.2021.37833",2
"10.1001/jamanetworkopen.2021.42780",3
"10.1001/jamanetworkopen.2021.44750",2
"10.1001/jamanetworkopen.2021.47588",3
"10.1001/jamanetworkopen.2022.0902",2
"10.1001/jamanetworkopen.2022.11497",1
"10.1001/jamanetworkopen.2022.30439",4
"10.1001/jamanetworkopen.2022.30451",2
"10.1001/jamanetworkopen.2022.48664",1
"10.1001/jamanetworkopen.2022.9311",1
"10.1001/jamaneurol.2019.2670",4
"10.1001/jamaneurol.2019.2940",2
"10.1001/jamaneurol.2019.3238",2
"10.1001/jamaneurol.2019.3283",2
"10.1001/jamaneurol.2019.3365",2
"10.1001/jamaneurol.2019.3403",2
"10.1001/jamaneurol.2019.3656",1
"10.1001/jamaneurol.2019.4173",1
"10.1001/jamaneurol.2019.4271",2
"10.1001/jamaneurol.2019.4379",1
"10.1001/jamaneurol.2019.5125",3
"10.1001/jamaneurol.2020.0117",2
"10.1001/jamaneurol.2020.0367",4
"10.1001/jamaneurol.2020.0519",1
"10.1001/jamaneurol.2020.0664",1
"10.1001/jamaneurol.2020.0678",3
"10.1001/jamaneurol.2020.0776",1
"10.1001/jamaneurol.2020.1087",2
"10.1001/jamaneurol.2020.1118",3
"10.1001/jamaneurol.2020.1162",1
"10.1001/jamaneurol.2020.1568",3
"10.1001/jamaneurol.2020.2231",3
"10.1001/jamaneurol.2020.2453",4
"10.1001/jamaneurol.2020.2581",4
"10.1001/jamaneurol.2020.2687",2
"10.1001/jamaneurol.2020.2950",4
"10.1001/jamaneurol.2020.3115",1
"10.1001/jamaneurol.2020.3324",3
"10.1001/jamaneurol.2020.3332",1
"10.1001/jamaneurol.2020.3502",2
"10.1001/jamaneurol.2020.4025",3
"10.1001/jamaneurol.2020.4152",5
"10.1001/jamaneurol.2020.4689",3
"10.1001/jamaneurol.2020.4920",3
"10.1001/jamaneurol.2020.5520",2
"10.1001/jamaneurol.2021.0405",4
"10.1001/jamaneurol.2021.0627",3
"10.1001/jamaneurol.2021.0688",3
"10.1001/jamaneurol.2021.0764",1
"10.1001/jamaneurol.2021.0912",3
"10.1001/jamaneurol.2021.1008",2
"10.1001/jamaneurol.2021.1116",2
"10.1001/jamaneurol.2021.1364",1
"10.1001/jamaneurol.2021.2738",4
"10.1001/jamaneurol.2021.3088",2
"10.1001/jamaneurol.2021.3188",4
"10.1001/jamaneurol.2021.3416",2
"10.1001/jamaneurol.2021.3599",3
"10.1001/jamaneurol.2021.3609",2
"10.1001/jamaneurol.2021.4245",1
"10.1001/jamaneurol.2021.5109",1
"10.1001/jamaneurol.2022.0245",1
"10.1001/jamaneurol.2022.0489",4
"10.1001/jamaneurol.2022.1025",2
"10.1001/jamaneurol.2022.1357",1
"10.1001/jamaneurol.2022.1735",2
"10.1001/jamaneurol.2022.1929",4
"10.1001/jamaneurol.2022.2141",1
"10.1001/jamaoncol.2021.6987",6
"10.1001/jamaophthalmol.2020.4231",3
"10.1001/jamaophthalmol.2021.0651",3
"10.1001/jamapsychiatry.2021.4363",1
"10.1002/14651858.cd004192.pub4",1
"10.1002/14651858.cd004407.pub4",1
"10.1002/14651858.cd004407.pub5",1
"10.1002/14651858.cd006981.pub3",3
"10.1002/14651858.cd008496.pub3",2
"10.1002/14651858.cd008754.pub4",1
"10.1002/14651858.cd012081.pub3",2
"10.1002/14651858.cd012336.pub2",3
"10.1002/14651858.cd013247.pub2",1
"10.1002/14651858.cd013444.pub2",2
"10.1002/14651858.cd013544.pub2",3
"10.1002/14651858.cd013608.pub2",2
"10.1002/14651858.cd013647.pub2",1
"10.1002/14651858.cd013874.pub2",1
"10.1002/14651858.cd015021",3
"10.1002/1873-3468.13858",3
"10.1002/1878-0261.12826",1
"10.1002/2211-5463.12951",1
"10.1002/acn3.50972",2
"10.1002/acn3.50988",1
"10.1002/acn3.51004",1
"10.1002/acn3.51008",3
"10.1002/acn3.51029",2
"10.1002/acn3.51037",1
"10.1002/acn3.51045",2
"10.1002/acn3.51060",2
"10.1002/acn3.51070",2
"10.1002/acn3.51078",2
"10.1002/acn3.51100",2
"10.1002/acn3.51103",1
"10.1002/acn3.51109",2
"10.1002/acn3.51111",1
"10.1002/acn3.51130",1
"10.1002/acn3.51136",1
"10.1002/acn3.51147",2
"10.1002/acn3.51148",3
"10.1002/acn3.51152",1
"10.1002/acn3.51156",1
"10.1002/acn3.51167",2
"10.1002/acn3.51187",1
"10.1002/acn3.51200",2
"10.1002/acn3.51206",2
"10.1002/acn3.51215",2
"10.1002/acn3.51216",3
"10.1002/acn3.51224",2
"10.1002/acn3.51229",3
"10.1002/acn3.51234",2
"10.1002/acn3.51241",1
"10.1002/acn3.51244",2
"10.1002/acn3.51251",3
"10.1002/acn3.51262",1
"10.1002/acn3.51264",1
"10.1002/acn3.51267",2
"10.1002/acn3.51282",3
"10.1002/acn3.51291",2
"10.1002/acn3.51293",1
"10.1002/acn3.51298",2
"10.1002/acn3.51302",3
"10.1002/acn3.51303",3
"10.1002/acn3.51305",2
"10.1002/acn3.51310",4
"10.1002/acn3.51314",4
"10.1002/acn3.51320",4
"10.1002/acn3.51324",2
"10.1002/acn3.51325",2
"10.1002/acn3.51326",2
"10.1002/acn3.51334",1
"10.1002/acn3.51338",1
"10.1002/acn3.51342",1
"10.1002/acn3.51354",3
"10.1002/acn3.51355",4
"10.1002/acn3.51365",2
"10.1002/acn3.51366",3
"10.1002/acn3.51368",2
"10.1002/acn3.51378",3
"10.1002/acn3.51383",2
"10.1002/acn3.51401",1
"10.1002/acn3.51408",3
"10.1002/acn3.51410",2
"10.1002/acn3.51413",2
"10.1002/acn3.51431",1
"10.1002/acn3.51441",3
"10.1002/acn3.51471",2
"10.1002/acn3.51472",2
"10.1002/acn3.51473",4
"10.1002/acn3.51476",3
"10.1002/acn3.51481",1
"10.1002/acn3.51491",3
"10.1002/acn3.51495",2
"10.1002/acn3.51510",2
"10.1002/acn3.51524",2
"10.1002/acn3.51526",2
"10.1002/acn3.51568",1
"10.1002/acn3.51573",2
"10.1002/acn3.51574",2
"10.1002/acn3.51578",1
"10.1002/acn3.51595",3
"10.1002/acn3.51618",1
"10.1002/acn3.51621",1
"10.1002/acn3.51622",1
"10.1002/acn3.51628",2
"10.1002/acn3.51632",2
"10.1002/acn3.51642",1
"10.1002/acn3.51644",2
"10.1002/acn3.51645",1
"10.1002/acn3.51646",2
"10.1002/acn3.51648",1
"10.1002/acn3.51649",3
"10.1002/acn3.51662",4
