"DOI","ALTMETRIC"
"10.1001/amajethics.2021.519",9
"10.1001/jama.2019.21834",176
"10.1001/jama.2020.1012",951
"10.1001/jama.2020.1522",14
"10.1001/jama.2020.26858",235
"10.1001/jama.2020.7980",1
"10.1001/jama.2020.7992",1
"10.1001/jama.2021.25109",2
"10.1001/jama.2022.14236",13
"10.1001/jamacardio.2022.2333",34
"10.1001/jamainternmed.2020.2771",43
"10.1001/jamainternmed.2021.7024",645
"10.1001/jamainternmed.2021.7171",78
"10.1001/jamanetworkopen.2020.13431",19
"10.1001/jamanetworkopen.2020.14220",6
"10.1001/jamanetworkopen.2020.15061",97
"10.1001/jamanetworkopen.2020.16278",5
"10.1001/jamanetworkopen.2020.22227",39
"10.1001/jamanetworkopen.2020.35913",102
"10.1001/jamanetworkopen.2020.36321",42
"10.1001/jamanetworkopen.2020.4339",2
"10.1001/jamanetworkopen.2021.2167",17
"10.1001/jamanetworkopen.2021.24932",456
"10.1001/jamanetworkopen.2021.28271",56
"10.1001/jamanetworkopen.2021.28871",19
"10.1001/jamanetworkopen.2021.34627",24
"10.1001/jamanetworkopen.2021.36697",54
"10.1001/jamanetworkopen.2021.37833",10
"10.1001/jamanetworkopen.2021.42780",15
"10.1001/jamanetworkopen.2021.44750",74
"10.1001/jamanetworkopen.2021.47588",11
"10.1001/jamanetworkopen.2022.0902",84
"10.1001/jamanetworkopen.2022.11497",95
"10.1001/jamanetworkopen.2022.30439",251
"10.1001/jamanetworkopen.2022.30451",238
"10.1001/jamanetworkopen.2022.48664",24
"10.1001/jamanetworkopen.2022.9311",27
"10.1001/jamaneurol.2019.2670",37
"10.1001/jamaneurol.2019.2940",44
"10.1001/jamaneurol.2019.3238",156
"10.1001/jamaneurol.2019.3283",38
"10.1001/jamaneurol.2019.3365",121
"10.1001/jamaneurol.2019.3403",78
"10.1001/jamaneurol.2019.3656",14
"10.1001/jamaneurol.2019.4173",154
"10.1001/jamaneurol.2019.4271",106
"10.1001/jamaneurol.2019.4379",22
"10.1001/jamaneurol.2019.5125",60
"10.1001/jamaneurol.2020.0117",170
"10.1001/jamaneurol.2020.0367",19
"10.1001/jamaneurol.2020.0519",121
"10.1001/jamaneurol.2020.0664",361
"10.1001/jamaneurol.2020.0678",9
"10.1001/jamaneurol.2020.0776",5
"10.1001/jamaneurol.2020.1087",48
"10.1001/jamaneurol.2020.1118",186
"10.1001/jamaneurol.2020.1162",80
"10.1001/jamaneurol.2020.1568",66
"10.1001/jamaneurol.2020.2231",107
"10.1001/jamaneurol.2020.2453",48
"10.1001/jamaneurol.2020.2581",184
"10.1001/jamaneurol.2020.2687",903
"10.1001/jamaneurol.2020.2950",34
"10.1001/jamaneurol.2020.3115",22
"10.1001/jamaneurol.2020.3324",1762
"10.1001/jamaneurol.2020.3332",45
"10.1001/jamaneurol.2020.3502",41
"10.1001/jamaneurol.2020.4025",100
"10.1001/jamaneurol.2020.4152",319
"10.1001/jamaneurol.2020.4689",89
"10.1001/jamaneurol.2020.4920",60
"10.1001/jamaneurol.2020.5520",58
"10.1001/jamaneurol.2021.0405",89
"10.1001/jamaneurol.2021.0627",67
"10.1001/jamaneurol.2021.0688",177
"10.1001/jamaneurol.2021.0764",13
"10.1001/jamaneurol.2021.0912",46
"10.1001/jamaneurol.2021.1008",59
"10.1001/jamaneurol.2021.1116",165
"10.1001/jamaneurol.2021.1364",67
"10.1001/jamaneurol.2021.2738",139
"10.1001/jamaneurol.2021.3088",47
"10.1001/jamaneurol.2021.3188",76
"10.1001/jamaneurol.2021.3416",64
"10.1001/jamaneurol.2021.3599",60
"10.1001/jamaneurol.2021.3609",55
"10.1001/jamaneurol.2021.4245",12
"10.1001/jamaneurol.2021.5109",55
"10.1001/jamaneurol.2022.0245",14
"10.1001/jamaneurol.2022.0489",53
"10.1001/jamaneurol.2022.1025",65
"10.1001/jamaneurol.2022.1357",16
"10.1001/jamaneurol.2022.1735",5
"10.1001/jamaneurol.2022.1929",65
"10.1001/jamaneurol.2022.2141",64
"10.1001/jamaoncol.2021.6987",1098
"10.1001/jamaophthalmol.2020.4231",3
"10.1001/jamaophthalmol.2021.0651",19
"10.1001/jamapsychiatry.2021.4363",42
"10.1002/14651858.cd004192.pub4",35
"10.1002/14651858.cd004407.pub4",599
"10.1002/14651858.cd004407.pub5",25
"10.1002/14651858.cd006981.pub3",27
"10.1002/14651858.cd008496.pub3",11
"10.1002/14651858.cd008754.pub4",38
"10.1002/14651858.cd012081.pub3",23
"10.1002/14651858.cd012336.pub2",2
"10.1002/14651858.cd013247.pub2",17
"10.1002/14651858.cd013444.pub2",65
"10.1002/14651858.cd013544.pub2",40
"10.1002/14651858.cd013608.pub2",37
"10.1002/14651858.cd013647.pub2",12
"10.1002/14651858.cd013874.pub2",7
"10.1002/14651858.cd015021",24
"10.1002/1873-3468.13858",3
"10.1002/1878-0261.12826",1
"10.1002/2211-5463.12951",2
"10.1002/acn3.50972",30
"10.1002/acn3.50988",127
"10.1002/acn3.51004",11
"10.1002/acn3.51008",10
"10.1002/acn3.51029",2
"10.1002/acn3.51037",5
"10.1002/acn3.51045",23
"10.1002/acn3.51060",1
"10.1002/acn3.51070",10
"10.1002/acn3.51078",13
"10.1002/acn3.51100",1
"10.1002/acn3.51103",1
"10.1002/acn3.51109",17
"10.1002/acn3.51111",29
"10.1002/acn3.51130",9
"10.1002/acn3.51136",32
"10.1002/acn3.51147",6
"10.1002/acn3.51148",1
"10.1002/acn3.51152",0
"10.1002/acn3.51156",11
"10.1002/acn3.51167",8
"10.1002/acn3.51187",8
"10.1002/acn3.51200",8
"10.1002/acn3.51206",17
"10.1002/acn3.51215",8
"10.1002/acn3.51216",17
"10.1002/acn3.51224",11
"10.1002/acn3.51229",17
"10.1002/acn3.51234",18
"10.1002/acn3.51241",10
"10.1002/acn3.51244",11
"10.1002/acn3.51251",14
"10.1002/acn3.51262",2
"10.1002/acn3.51264",9
"10.1002/acn3.51267",12
"10.1002/acn3.51282",7
"10.1002/acn3.51291",8
"10.1002/acn3.51293",10
"10.1002/acn3.51298",7
"10.1002/acn3.51302",2
"10.1002/acn3.51303",40
"10.1002/acn3.51305",13
"10.1002/acn3.51310",8
"10.1002/acn3.51314",7
"10.1002/acn3.51320",20
"10.1002/acn3.51324",10
"10.1002/acn3.51325",10
"10.1002/acn3.51326",2
"10.1002/acn3.51334",2
"10.1002/acn3.51338",1
"10.1002/acn3.51342",18
"10.1002/acn3.51354",13
"10.1002/acn3.51355",12
"10.1002/acn3.51365",23
"10.1002/acn3.51366",7
"10.1002/acn3.51368",13
"10.1002/acn3.51378",1
"10.1002/acn3.51383",5
"10.1002/acn3.51401",17
"10.1002/acn3.51408",36
"10.1002/acn3.51410",11
"10.1002/acn3.51413",2
"10.1002/acn3.51431",3
"10.1002/acn3.51441",18
"10.1002/acn3.51471",6
"10.1002/acn3.51472",1
"10.1002/acn3.51473",4
"10.1002/acn3.51476",13
"10.1002/acn3.51481",11
"10.1002/acn3.51491",16
"10.1002/acn3.51495",1
"10.1002/acn3.51510",13
"10.1002/acn3.51524",1
"10.1002/acn3.51526",10
"10.1002/acn3.51568",17
"10.1002/acn3.51573",1
"10.1002/acn3.51574",288
"10.1002/acn3.51578",971
"10.1002/acn3.51595",16
"10.1002/acn3.51618",3
"10.1002/acn3.51621",2
"10.1002/acn3.51622",3
"10.1002/acn3.51628",20
"10.1002/acn3.51632",1
"10.1002/acn3.51642",0
"10.1002/acn3.51644",5
"10.1002/acn3.51645",0
"10.1002/acn3.51646",11
"10.1002/acn3.51648",69
"10.1002/acn3.51649",0
"10.1002/acn3.51662",13
"10.1002/acn3.51664",1
"10.1002/acn3.51669",10
"10.1002/acn3.51688",23
"10.1002/acr2.11293",2
"10.1002/adbi.202101099",2
"10.1002/adhm.202000164",17
"10.1002/adhm.202002214",2
"10.1002/adma.202107392",5
"10.1002/adma.202201322",1
"10.1002/advs.202002944",2
"10.1002/advs.202004973",0
"10.1002/advs.202102853",1
"10.1002/advs.202104640",12
"10.1002/advs.202105442",1
"10.1002/ajhb.23415",1
"10.1002/ajmg.a.62120",9
"10.1002/ajmg.a.62433",2
"10.1002/ajmg.a.62870",1
"10.1002/alz.12180",16
"10.1002/alz.12880",174
"10.1002/alz.12885",32
"10.1002/ana.25637",28
"10.1002/ana.25647",18
"10.1002/ana.25655",109
"10.1002/ana.25684",15
"10.1002/ana.25688",16
"10.1002/ana.25691",7
"10.1002/ana.25701",43
"10.1002/ana.25705",6
"10.1002/ana.25709",22
"10.1002/ana.25717",45
"10.1002/ana.25737",14
"10.1002/ana.25738",39
"10.1002/ana.25743",23
"10.1002/ana.25746",45
"10.1002/ana.25749",28
"10.1002/ana.25758",10
"10.1002/ana.25759",25
"10.1002/ana.25770",28
"10.1002/ana.25782",12
"10.1002/ana.25786",20
"10.1002/ana.25799",67
"10.1002/ana.25802",1
"10.1002/ana.25808",24
"10.1002/ana.25835",24
"10.1002/ana.25842",154
"10.1002/ana.25877",14
"10.1002/ana.25907",11
"10.1002/ana.25909",26
"10.1002/ana.25927",15
"10.1002/ana.25933",10
"10.1002/ana.25936",10
"10.1002/ana.25957",12
"10.1002/ana.25974",11
"10.1002/ana.26014",31
"10.1002/ana.26023",10
"10.1002/ana.26027",7
"10.1002/ana.26028",116
"10.1002/ana.26050",28
"10.1002/ana.26052",24
"10.1002/ana.26061",17
"10.1002/ana.26062",16
"10.1002/ana.26067",76
"10.1002/ana.26069",64
"10.1002/ana.26084",24
"10.1002/ana.26136",1
"10.1002/ana.26137",10
"10.1002/ana.26154",13
"10.1002/ana.26155",4
"10.1002/ana.26158",7
"10.1002/ana.26163",11
"10.1002/ana.26194",38
"10.1002/ana.26196",24
"10.1002/ana.26202",1
"10.1002/ana.26216",13
"10.1002/ana.26223",20
"10.1002/ana.26226",12
"10.1002/ana.26239",185
"10.1002/ana.26251",80
"10.1002/ana.26281",43
"10.1002/ana.26285",66
"10.1002/ana.26288",16
"10.1002/ana.26290",32
"10.1002/ana.26301",13
"10.1002/ana.26309",16
"10.1002/ana.26320",22
"10.1002/ana.26322",9
"10.1002/ana.26328",10
"10.1002/ana.26336",19
"10.1002/ana.26341",0
"10.1002/ana.26343",5
"10.1002/ana.26346",9
"10.1002/ana.26348",0
"10.1002/ana.26352",13
"10.1002/ana.26370",4
"10.1002/ana.26440",9
"10.1002/ana.26441",2
"10.1002/ana.26448",3
"10.1002/ana.26466",74
"10.1002/anie.202113562",4
"10.1002/anr3.12169",7
"10.1002/anr3.12176",2
