"DOI","DIMENSION_Open_Access","DIMENSION_CITATIONS","DIMENSION_RECENT_CITATIONS","DIMENSION_RELATIVE_CITATION_RATIO","DIMENSION_FIELD_CITATION_RATIO","DIMENSION_Sustainable_Development_Goals"
"10.1001/amajethics.2021.519","All OA; Gold",0,0,,0,
"10.1001/jama.2019.21834","All OA; Bronze",62,51,7.28,30.15,"3 Good Health and Well Being"
"10.1001/jama.2020.1012","All OA; Bronze",96,74,7.71,,
"10.1001/jama.2020.1522","All OA; Green",7,4,0.63,,
"10.1001/jama.2020.26858","Closed",252,252,41.8,202.76,"3 Good Health and Well Being"
"10.1001/jama.2020.7980","Closed",0,0,,,
"10.1001/jama.2020.7992","Closed",0,0,0.08,,
"10.1001/jama.2021.25109","Closed",1,1,,,
"10.1001/jama.2022.14236","All OA; Bronze",1,1,,,
"10.1001/jamacardio.2022.2333","Closed",6,6,,,"3 Good Health and Well Being"
"10.1001/jamainternmed.2020.2771","All OA; Bronze",6,5,0.51,2.87,
"10.1001/jamainternmed.2021.7024","All OA; Bronze",117,117,,,"3 Good Health and Well Being"
"10.1001/jamainternmed.2021.7171","Closed",3,3,,,
"10.1001/jamanetworkopen.2020.13431","All OA; Gold",18,18,1.73,7.81,
"10.1001/jamanetworkopen.2020.14220","All OA; Gold",14,14,1.63,6.56,
"10.1001/jamanetworkopen.2020.15061","All OA; Gold",22,19,3.29,10.71,
"10.1001/jamanetworkopen.2020.16278","All OA; Gold",17,17,1.64,7.97,
"10.1001/jamanetworkopen.2020.22227","All OA; Gold",8,8,0.79,3.89,
"10.1001/jamanetworkopen.2020.35913","All OA; Gold",11,11,2.7,5.45,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2020.36321","All OA; Gold",26,26,4.44,20.71,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2020.4339","All OA; Gold",7,7,0.93,3.4,
"10.1001/jamanetworkopen.2021.2167","All OA; Gold",0,0,,,
"10.1001/jamanetworkopen.2021.24932","All OA; Gold",10,10,1.61,6.02,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2021.28271","All OA; Gold",8,8,1.6,6.44,
"10.1001/jamanetworkopen.2021.28871","All OA; Gold",10,10,1.89,8.03,
"10.1001/jamanetworkopen.2021.34627","All OA; Gold",11,11,1.34,8.76,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2021.36697","All OA; Gold",3,3,0.19,,
"10.1001/jamanetworkopen.2021.37833","All OA; Gold",13,13,2.7,10.46,
"10.1001/jamanetworkopen.2021.42780","All OA; Gold",19,19,,,
"10.1001/jamanetworkopen.2021.44750","All OA; Gold",14,14,,,
"10.1001/jamanetworkopen.2021.47588","All OA; Gold",9,9,,,
"10.1001/jamanetworkopen.2022.0902","All OA; Gold",4,4,,,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2022.11497","All OA; Gold",8,8,,,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2022.30439","All OA; Gold",2,2,,,
"10.1001/jamanetworkopen.2022.30451","All OA; Gold",0,0,,,
"10.1001/jamanetworkopen.2022.48664","All OA; Gold",1,1,,,"3 Good Health and Well Being"
"10.1001/jamanetworkopen.2022.9311","All OA; Gold",7,7,,,
"10.1001/jamaneurol.2019.2670","All OA; Bronze",35,25,2.76,13.31,
"10.1001/jamaneurol.2019.2940","All OA; Hybrid",153,118,15.3,71.66,
"10.1001/jamaneurol.2019.3238","All OA; Bronze",104,82,10.19,48.75,
"10.1001/jamaneurol.2019.3283","All OA; Bronze",15,11,1.84,7.28,
"10.1001/jamaneurol.2019.3365","All OA; Bronze",308,224,27.71,117.15,
"10.1001/jamaneurol.2019.3403","All OA; Bronze",97,79,10.11,45.43,
"10.1001/jamaneurol.2019.3656","All OA; Bronze",44,32,4.95,20.61,
"10.1001/jamaneurol.2019.4173","All OA; Bronze",43,34,5.53,26.37,
"10.1001/jamaneurol.2019.4271","Closed",49,38,5.1,22.97,"3 Good Health and Well Being"
"10.1001/jamaneurol.2019.4379","Closed",17,11,1.62,4.27,
"10.1001/jamaneurol.2019.5125","All OA; Hybrid",104,82,9.22,30.41,
"10.1001/jamaneurol.2020.0117","All OA; Bronze",41,33,3.83,15.58,
"10.1001/jamaneurol.2020.0367","All OA; Green",5,2,0.49,2.34,
"10.1001/jamaneurol.2020.0519","Closed",2,2,0.22,0.76,
"10.1001/jamaneurol.2020.0664","All OA; Bronze",44,36,4.44,16.74,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.0678","All OA; Bronze",2,2,0.37,0.76,
"10.1001/jamaneurol.2020.0776","Closed",1,1,0.12,0.38,
"10.1001/jamaneurol.2020.1087","All OA; Hybrid",36,32,3.33,16.86,
"10.1001/jamaneurol.2020.1118","All OA; Bronze",30,25,2.14,14.06,
"10.1001/jamaneurol.2020.1162","All OA; Hybrid",62,56,7.18,29.04,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.1568","All OA; Hybrid",145,139,14.8,67.97,
"10.1001/jamaneurol.2020.2231","All OA; Bronze",72,69,7.1,33.72,
"10.1001/jamaneurol.2020.2453","All OA; Bronze",19,17,1.42,7.23,"4 Quality Education"
"10.1001/jamaneurol.2020.2581","All OA; Bronze",320,264,27.41,150,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.2687","All OA; Bronze",285,236,25.4,133.48,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.2950","All OA; Hybrid",12,12,1.09,5.62,
"10.1001/jamaneurol.2020.3115","All OA; Green",39,37,4.15,18.27,
"10.1001/jamaneurol.2020.3324","All OA; Green",19,15,2.29,11.65,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.3332","Closed",2,2,0.13,0.76,
"10.1001/jamaneurol.2020.3502","All OA; Green",27,27,2.97,10.26,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.4025","Closed",23,22,3.12,8.32,
"10.1001/jamaneurol.2020.4152","All OA; Hybrid",184,184,28.06,120.61,"3 Good Health and Well Being"
"10.1001/jamaneurol.2020.4689","Closed",25,25,4.73,20.11,
"10.1001/jamaneurol.2020.4920","All OA; Bronze",53,52,11.53,34.79,
"10.1001/jamaneurol.2020.5520","All OA; Green",10,10,2.47,6.56,"4 Quality Education"
"10.1001/jamaneurol.2021.0405","All OA; Hybrid",79,79,13.03,63.56,
"10.1001/jamaneurol.2021.0627","All OA; Green",34,33,5.06,27.36,
"10.1001/jamaneurol.2021.0688","All OA; Hybrid",186,186,23.44,122.1,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.0764","Closed",3,3,0.18,2.41,
